recall_number,category
F-1733-2012,Beverages
F-1882-2012,Prepared/Frozen
F-1905-2012,Prepared/Frozen
F-1732-2012,Supplements
F-2049-2012,Dairy
F-0901-2013,Baking Supplies
F-2000-2012,Produce
F-0790-2013,Bakery
F-1913-2012,Produce
F-1896-2012,Produce
F-0710-2013,Grains/Cereal
F-1326-2013,Nuts/Seeds
F-0970-2013,Snacks/Candy
F-0177-2013,Produce
F-0538-2013,Nuts/Seeds
F-0830-2013,Produce
F-0047-2013,Seafood
F-1613-2013,Produce
F-0084-2013,Supplements
F-0240-2013,Plant Protein
F-0902-2013,Baking Supplies
F-0772-2013,Bakery
F-2054-2012,Dairy
F-0705-2013,Spices/Condiments
F-0870-2013,Grains/Cereal
F-2001-2012,Produce
F-1968-2012,Bakery
F-0502-2013,Nuts/Seeds
F-1844-2012,Snacks/Candy
F-1474-2012,Plant Protein
F-0529-2013,Nuts/Seeds
F-1940-2012,Prepared/Frozen
F-0322-2013,Nuts/Seeds
F-0975-2013,Bakery
F-1802-2012,Prepared/Frozen
F-0295-2013,Seafood
F-2394-2012,Bakery
F-0715-2013,Dairy
F-1776-2012,Dairy
F-0023-2013,Produce
F-1708-2012,Snacks/Candy
F-0506-2013,Nuts/Seeds
F-0313-2013,Spices/Condiments
F-0906-2013,Baking Supplies
F-0202-2013,Prepared/Frozen
F-1198-2013,Nuts/Seeds
F-2286-2012,Snacks/Candy
F-1343-2012,Spices/Condiments
F-0976-2013,Bakery
F-0904-2013,Baking Supplies
F-0254-2013,Produce
F-1731-2012,Supplements
F-0526-2013,Nuts/Seeds
F-1999-2012,Produce
F-0795-2013,Supplements
F-1465-2012,Spices/Condiments
F-1710-2012,Snacks/Candy
F-1581-2013,Baking Supplies
F-0741-2013,Food Additives/Ingredients
F-1799-2012,Supplements
F-2126-2012,Supplements
F-0253-2013,Produce
F-0892-2013,Produce
F-0017-2013,Produce
F-0277-2013,Produce
F-0550-2013,Nuts/Seeds
F-1463-2012,Spices/Condiments
F-0007-2013,Plant Protein
F-0774-2013,Bakery
F-0517-2013,Spices/Condiments
F-0745-2013,Dairy
F-0227-2013,Prepared/Frozen
F-2224-201,Produce
F-0147-2013,Uncategorized
F-0746-2013,Dairy
F-0143-2013,Spices/Condiments
F-0778-2013,Bakery
F-0535-2013,Nuts/Seeds
F-2261-2012,Produce
F-1812-2012,Supplements
F-0314-2013,Spices/Condiments
F-0283-2013,Produce
F-0706-2013,Produce
F-1470-2012,Spices/Condiments
F-0734-2013,Spices/Condiments
F-0771-2013,Bakery
F-2168-2012,Plant Protein
F-2356-2012,Spices/Condiments
F-0743-2013,Dairy
F-1473-2012,Grains/Cereal
F-1472-2012,Plant Protein
F-2221-2012,Produce
F-2041-2012,Dairy
F-2262-2012,Produce
F-0285-2013,Produce
F-1860-2012,Beverages
F-2091-2012,Prepared/Frozen
F-0262-2013,Produce
F-0850-2013,Plant Protein
F-2005-2012,Produce
F-2050-2012,Dairy
F-1709-2012,Snacks/Candy
F-2222-2012,Produce
F-2085-2012,Prepared/Frozen
F-1755-2012,Prepared/Frozen
F-0539-2013,Nuts/Seeds
F-1911-2012,Produce
F-0712-2013,Spices/Condiments
F-0713-2013,Spices/Condiments
F-0831-2013,Produce
F-2223-2012,Produce
F-1858-2012,Food Additives/Ingredients
F-0894-2013,Produce
F-0112-2013,Bakery
F-0714-2013,Dairy
F-0903-2013,Baking Supplies
F-0763-2013,Bakery
F-2338-2012,Nuts/Seeds
F0515-2013,Bakery
F-0938-2013,Bakery
F-1859-2012,Beverages
F-1144-2013,Grains/Cereal
F-0900-2013,Baking Supplies
F-1888-2012,Produce
F-0905-2013,Baking Supplies
F-0899-2013,Baking Supplies
F-1990-2012,Nuts/Seeds
F-1730-2012,Supplements
F-0664-2013,Prepared/Frozen
F-0849-2013,Plant Protein
F-1897-2012,Produce
F-1457-2013,Produce
F-1466-2012,Spices/Condiments
F-0766-2013,Bakery
F-0297-2013,Produce
F-0179-2013,Produce
F-0518-2013,Produce
F-2052-2012,Dairy
F-1729-2012,Supplements
F-1760-2013,Seafood
F-1352-2014,Supplements
F-1343-2013,Baking Supplies
F-0789-2014,Supplements
F-1695-2013,Snacks/Candy
F-1336-2014,Beverages
F-0430-2014,Produce
F-0809-2014,Supplements
F-1509-2014,Spices/Condiments
F-1533-2014,Spices/Condiments
F-0867-2014,Plant Protein
F-1728-2013,Nuts/Seeds
F-1644-2013,Grains/Cereal
F-1508-2014,Spices/Condiments
F-0756-2014,Supplements
F-1349-2014,Supplements
F-0134-2014,Supplements
F-0816-2014,Supplements
F-1465-2013,Dairy
F-0433-2014,Produce
F-1580-2013,Grains/Cereal
F-0429-2014,Produce
F-0837-2014,Supplements
F-1135-2014,Supplements
F-1524-2014,Spices/Condiments
F-0802-2014,Supplements
F-1133-2014,Supplements
F-1524-2013,Produce
F-1350-2014,Supplements
F-1554-2013,Bakery
F-1516-2014,Spices/Condiments
F-0850-2014,Produce
F-1521-2014,Spices/Condiments
F-0720-2014,Produce
F-1512-2014,Spices/Condiments
F-1143-2014,Supplements
F-1531-2014,Spices/Condiments
F-1300-2013,Supplements
F-0783-2014,Supplements
F-1638-2013,Plant Protein
F-1937-2014,Produce
F-0118-2014,Supplements
F-0133-2014,Supplements
F-1641-2013,Plant Protein
F-0136-2014,Supplements
F-1447-2014,Produce
F-0714-2014,Produce
F-1305-2013,Beverages
F-0636-2014,Prepared/Frozen
F-1133-2013,Plant Protein
F-0090-2014,Supplements
F-1510-2014,Spices/Condiments
F-0567-2014,Produce
F-0331-2014,Produce
F-0969-2014,Produce
F-0775-2014,Supplements
F-0838-2014,Supplements
F-1520-2014,Spices/Condiments
F-0585-2014,Plant Protein
F-0813-2014,Supplements
F-0808-2014,Supplements
F-1491-2014,Spices/Condiments
F-1471-2014,Supplements
F-1348-2014,Supplements
F-0396-2014,Produce
F-1764-2013,Seafood
F-0932-2014,Produce
F-0137-2014,Supplements
F-0095-2014,Supplements
F-0764-2014,Supplements
F-0343-2014,Prepared/Frozen
F-1639-2013,Plant Protein
F-0431-2014,Produce
F-1448-2014,Produce
F-0120-2014,Supplements
F-0800-2014,Supplements
F-1896-2013,Bakery
F-1219-2014,Spices/Condiments
F-1543-2013,Supplements
F-1917-2013,Supplements
F-0328-2014,Produce
F-1322-2013,Produce
F-1894-2013,Uncategorized
F-1523-2014,Spices/Condiments
F-1286-2013,Supplements
F-1007-2014,Produce
F-1142-2014,Supplements
F-1919-2013,Supplements
F-0713-2014,Produce
F-0092-2014,Supplements
F-0843-2014,Supplements
F-1104-2014,Prepared/Frozen
F-0337-2014,Produce
F-1850-2013,Dairy
F-1762-2013,Seafood
F-1745-2013,Produce
F-1296-2013,Uncategorized
F-1802-2013,Supplements
F-1511-2014,Spices/Condiments
F-1047-2014,Plant Protein
F-0758-2014,Supplements
F-0089-2014,Supplements
F-0825-2014,Supplements
F-0847-2014,Produce
F-1526-2014,Spices/Condiments
F-0641-2014,Prepared/Frozen
F-0724-2014,Produce
F-0738-2014,Supplements
F-0341-2014,Produce
F-1593-2013,Uncategorized
F-1767-2013,Supplements
F-1818-2013,Spices/Condiments
F-0942-2014,Produce
F-0094-2014,Supplements
F-0332-2014,Produce
F-0718-2014,Produce
F-1404-2013,Nuts/Seeds
F-1504-2014,Spices/Condiments
F-0778-2014,Supplements
F-0222-2014,Grains/Cereal
F-1765-2013,Seafood
F-1530-2014,Spices/Condiments
F-1957-2013,Dairy
F-1349-2013,Prepared/Frozen
F-0569-2014,Produce
F-1893-2013,Bakery
F-0797-2014,Supplements
F-1591-2013,Uncategorized
F-1137-2014,Supplements
F-1532-2014,Spices/Condiments
F-0690-2014,Plant Protein
F-0835-2014,Supplements
F-1446-2014,Produce
F-0845-2014,Produce
F-0716-2015,Produce
F-1503-2014,Spices/Condiments
F-1502-2014,Spices/Condiments
F-0327-2014,Produce
F-1648-2014,Spices/Condiments
F-0088-2014,Dairy
F-0573-2014,Produce
F-0864-2014,Plant Protein
F-0812-2014,Supplements
F-0176-2014,Supplements
F-0791-2014,Supplements
F-1500-2014,Spices/Condiments
F-0579-2014,Produce
F-0325-2014,Produce
F-1640-2013,Plant Protein
F-1642-2014,Supplements
F-1499-2014,Spices/Condiments
F-1026-2014,Produce
F-1527-2104,Spices/Condiments
F-1389-2014,Seafood
F-0510-2015,Produce
F-0687-2014,Produce
F-0640-2014,Prepared/Frozen
F-1960-2013,Supplements
