recall_number,category,confidence
F-0001-2013,Prepared/Frozen,medium
F-0001-2014,Snacks/Candy,high
F-0001-2015,Bakery,high
F-0001-2016,Produce,high
F-0001-2017,Seafood,high
F-0001-2018,Snacks/Candy,high
F-0001-2019,Prepared/Frozen,medium
F-0001-2020,Prepared/Frozen,medium
F-0001-2021,Snacks/Candy,high
F-0001-2022,Prepared/Frozen,high
F-0001-2023,Beverages,high
F-0001-2024,Beverages,medium
F-0001-2025,Snacks/Candy,medium
F-0002-2014,Bakery,high
F-0002-2015,Nuts/Seeds,high
F-0002-2016,Spices/Condiments,high
F-0002-2017,Seafood,high
F-0002-2018,Plant Protein,low
F-0002-2019,Prepared/Frozen,medium
F-0002-2020,Beverages,high
F-0002-2021,Dairy,medium
F-0002-2022,Prepared/Frozen,high
F-0002-2023,Spices/Condiments,high
F-0002-2024,Nuts/Seeds,high
F-0002-2025,Snacks/Candy,medium
F-0003-2014,Dairy,high
F-0003-2015,Bakery,medium
F-0003-2016,Produce,high
F-0003-2017,Seafood,high
F-0003-2018,Plant Protein,low
F-0003-2019,Seafood,high
F-0003-2020,Seafood,high
F-0003-2021,Dairy,high
F-0003-2022,Prepared/Frozen,high
F-0003-2023,Nuts/Seeds,high
F-0003-2024,Baby/Toddler Food,medium
F-0003-2025,Snacks/Candy,medium
F-0004-2014,Nuts/Seeds,high
F-0004-2015,Bakery,medium
F-0004-2016,Spices/Condiments,high
F-0004-2017,Seafood,high
F-0004-2018,Beverages,high
F-0004-2019,Seafood,high
F-0004-2020,Seafood,medium
F-0004-2021,Produce,high
F-0004-2022,Prepared/Frozen,high
F-0004-2023,Spices/Condiments,high
F-0004-2024,Baby/Toddler Food,low
F-0004-2025,Beverages,low
F-0005-2014,Nuts/Seeds,high
F-0005-2015,Bakery,high
F-0005-2016,Bakery,high
F-0005-2017,Prepared/Frozen,high
F-0005-2018,Prepared/Frozen,medium
F-0005-2019,Supplements,high
F-0005-2020,Seafood,medium
F-0005-2021,Spices/Condiments,high
F-0005-2022,Prepared/Frozen,high
F-0005-2023,Snacks/Candy,high
F-0005-2024,Baby/Toddler Food,medium
F-0005-2025,Spices/Condiments,high
F-0006-2013,Spices/Condiments,high
F-0006-2014,Supplements,high
F-0006-2015,Produce,high
F-0006-2016,Bakery,high
F-0006-2017,Snacks/Candy,medium
F-0006-2018,Prepared/Frozen,medium
F-0006-2019,Beverages,high
F-0006-2020,Seafood,medium
F-0006-2021,Snacks/Candy,medium
F-0006-2022,Produce,medium
F-0006-2023,Produce,medium
F-0006-2024,Baby/Toddler Food,medium
F-0006-2025,Beverages,high
F-0007-2013,Plant Protein,high
F-0007-2014,Supplements,high
F-0007-2015,Bakery,high
F-0007-2016,Snacks/Candy,medium
F-0007-2017,Snacks/Candy,medium
F-0007-2018,Prepared/Frozen,medium
F-0007-2019,Bakery,high
F-0007-2020,Seafood,medium
F-0007-2021,Bakery,high
F-0007-2022,Produce,high
F-0007-2023,Produce,high
F-0007-2024,Prepared/Frozen,medium
F-0007-2025,Beverages,medium
F-0008-2013,Spices/Condiments,high
F-0008-2014,Supplements,high
F-0008-2015,Bakery,high
F-0008-2016,Snacks/Candy,medium
F-0008-2017,Spices/Condiments,high
F-0008-2018,Prepared/Frozen,medium
F-0008-2019,Bakery,high
F-0008-2020,Snacks/Candy,high
F-0008-2021,Spices/Condiments,high
F-0008-2022,Beverages,high
F-0008-2023,Produce,high
F-0008-2024,Baby/Toddler Food,high
F-0009-2013,Produce,high
F-0009-2014,Beverages,high
F-0009-2015,Bakery,high
F-0009-2016,Grains/Cereal,high
F-0009-2017,Bakery,high
F-0009-2018,Supplements,high
F-0009-2019,Bakery,medium
F-0009-2020,Snacks/Candy,high
F-0009-2021,Dairy,high
F-0009-2022,Produce,high
F-0009-2023,Produce,medium
