recall_number,product_description,expected_category,sample_reason
F-0023-2015,"Shell Eggs packaged under the following labels:    (1) Abbotsford Farms Cage Free Pasteurized Shell Eggs, Grade A Large Brown Eggs, packaged as 15 dozen per 1 case.  Distributed by Abbotsford Farms, Gaylord, MN 55334.  UPC Code 1 00 14616 64010 7.    (2) AbbotsFord Farms Cage Free 1 Dozen Large Eggs Pasteurized for Safety. The product was packaged as 1 case of 15 1-dozen eggs per carton.  Distributed by Abbotsford Farms, Gaylord, MN 55334.  UPC Code 1 00 14616 64010 6.    (3) Pepetti's Pasteurized Shell Eggs made with Grade A Large White Eggs, packaged as 15 dozen per 1 case.  Distributed by:  Michael Foods, Inc., Minnetonka, MN 55305.  UPC Code 1 07 46025 86990 7.    (4) Glenview Farms Pasteurized Shell Eggs made with Grade A Large White Eggs, packaged as 15 dozen per 1 case.  Distributed by U.S. Foodservice Inc., Rosemount, IL 60018.  UPC Code 5 07 58108 62234 5.    (5) Crystal Farms One Dozen Large Eggs, Pasteurized Eggs. The product was packaged as 1 case of 15 1-dozen eggs per carton.  Distributed by Crystal Farms, Lake Mills, WI 53551-0753.  UPC Code 1 00 75925 00032 6.      (6) GFS Large Pasteurized Eggs, packaged as 15 dozen per 1 case.  Distributed by Gordon Food Service, Grand Rapids, MI 49548.  UPC Code 0 00 93901 26545 6.",Eggs,probe
F-0147-2017,"Shell eggs, various sizes, packaged in the following ways:  6-count cartons, 10-count cartons, 12-count cartons, 18-count cartons, 15 dozen cases, and 30 dozen cases; under the brand name Good Earth Egg Company and MO license # D-01124.  The responsible firm name is Good Earth Egg Company, Bonne Terre, MO",Eggs,probe
F-1410-2018,"Shell Eggs packaged in quantities and styles of pack (plastic and pulp cartons, flats, and boxes)",Eggs,probe
H-0210-2025,"--- Shell Eggs; Brown; Various sizes - medium, large, and jumbo; Various pack sizes - 5, 12, 18, and Loose ----   Clover Organic Large Brown 12 eggs ---  First Street Cage Free Large Brown Loose (1 case = 150 eggs) ---  Nulaid Medium Brown Cage Free 12 eggs ---  Nulaid Jumbo Brown Cage Free 12 eggs ---  O Organics Cage Free Large Brown 6 eggs ---  O Organics Large Brown 12 eggs ---  O Organics Large Brown 18 eggs ---  Marketside Organic Large Cage Free Brown 12 eggs ---  Marketside Organic Large Cage Free Brown 18 eggs ---  Marketside Large Cage Free Brown 12 eggs ---  Marketside Large Cage Free Brown 18 eggs ---  Raley's Large Cage Free Brown 12 eggs ---  Raley's Large Cage Free Brown 18 eggs ---  Raley's Organic Large Cage Free Brown 12 eggs ---  Raley's Organic Large Cage Free Brown 18 eggs ---  Simple Truth Medium Brown Cage Free 18 eggs ---  Simple Truth Large Brown Cage Free 18 eggs ---  Sun Harvest Organic Cage Free Large Brown 12 eggs ---  Sun Harvest Organic Cage Free Large Brown 18 eggs ---  Sunnyside Large Brown Cage Free 12 eggs ---  Sunnyside Large Brown Cage Free 18 eggs ---  Sunnyside Organic Cage Free Large Brown 12 eggs ---  Sunnyside Organic Cage Free Large Brown 18 eggs ---  Loose Small Brown Cage Free (1 box = 6 flats; 1 flat= 30 eggs) ---  Loose Medium Brown Cage Free (1 box = 6 flats; 1 flat= 30 eggs) ---  Loose Medium Brown Organic (1 box = 6 flats; 1 flat= 30 eggs) ---  Loose Large Brown Organic (1 box = 6 flats; 1 flat = 30 eggs) ---  Loose Jumbo Brown Cage Free (1 box = 5 flats; 1 flat = 20 eggs) ---  Loose Jumbo Brown Organic (1 box = 5 flats; 1 flat = 20 eggs)",Eggs,probe
F-1626-2012,"Sysco brand Garden with Romaine, 4 x 5 lb bag, UPC: n/a; Product is a salad item; bagged in clear polyethylene film (foodservice) and polypropylene/polyethylene (retail). Refrigerate and consume within Best By date. Product is processed and packaged by River Ranch Fresh Foods, LLC",Produce,probe
F-1618-2012,"Fresh n Easy brand Garden with Romaine, 4 x 5 lb bag, UPC: n/a; Product is a salad item; bagged in clear polyethylene film (foodservice) and polypropylene/polyethylene (retail). Refrigerate and consume within Best By date. Product is processed and packaged by River Ranch Fresh Foods, LLC",Produce,probe
F-1606-2012,"River Ranch brand Shredded Romaine, 6 x 2 lb bag, UPC: n/a; Product is a salad item; bagged in clear polyethylene film (foodservice) and polypropylene/polyethylene (retail). Refrigerate and consume within Best By date. Product is processed and packaged by River Ranch Fresh Foods, LLC",Produce,probe
F-1614-2012,"Cross Valley brand Iceberg / Romaine w/Color, 4 x 5 lb bag, UPC: n/a; Product is a salad item; bagged in clear polyethylene film (foodservice) and polypropylene/polyethylene (retail). Refrigerate and consume within Best By date. Product is processed and packaged by River Ranch Fresh Foods, LLC",Produce,probe
F-2320-2014,"PriceRite Spring Water Net 1 GAL (3.78 L) Distributed by P.R.R.C. Inc. 5000 Riverside Drive Keasby, NJ 00832   UPC 041190755189",Beverages,probe
F-2319-2014,"Shoprite Spring Water Net 1 GAL (120 Fl Oz.) 3.78L  Distributed by Wakefern Food Corp Elizabeth, NJ Made in USA  UPC 041190007196",Beverages,probe
F-1949-2014,"On cap  100% Spring Water  Bottled at Aqua Filter Fresh, Inc., Pittsburgh, PA  15239  Source Boiling Spring, Oakland, MD 21550    On bottle side:  Tyler Mountain  Water & Coffee    In 3 gallon and 5 gallon plastic bottles",Beverages,probe
F-2772-2015,"Lime Flavored Electrolyte bottled Water, sold under brand Refreshe.  Each bottle is 1 Liter (33.8 Fl. oz.).  This brand has the UPC 0 21130-24208 5.",Beverages,probe
F-2292-2012,"Meal Replacement product is labeled in part:  ""***The Perfect Shake***All of the Best***None of the Rest***foru***Dietary supplement***Net wt. 20 oz (1 lb 4 oz) (564 g)***A well balanced blend of old-world plant nutrition.***What's in The Perfect Shake supplement?  All of the best, and none of the rest, in amounts that are the right balance for you.***More than just the best ingredients, The perfect Shake supplement is made from the optimal ratio of the right ingredients, scientifically designed to supplement a healthy diet and use along with your weight management program.**The Perfect Shake supplement is as much about what it doesn't contain as what it does.  There are no animal proteins (it's vegan).  No whey, soy or casein.  No ingredients produced using biotechnology.  No glutens.  No artificial sweeteners like sucralose or aspartame.***Maintaining your ideal energy levels and supporting your weight management goals shouldn't be a challenge; it should be easy, natural, and something anyone can do.***Try The Perfect Shake Supplement for 30 days.  If you don't love it, return the empty container for a full refund.***All of the Best***Ancient Grain Blend***Amaranth, Sorghum and Brown Rice***Richest sources of nutrients among grains***Metabolic Support Blend***Use as part of your diet to help promote healthy blood sugar levels***Promotes healthy metabolism* ***SuperFood Blend***With superfoods like spinach and carrot powders***Lycopene - the powerful anti-oxidant***Digestive Blend***Dietary fiber to support your digestive system***Guar gum to provide a gentle laxative***Beneficial bacteria to promote digestive health* ***Natural Flavoring and Sweeteners***NuStevia - sweeter than sugar without the unwanted effects***Natural vanilla flavor***None of the Rest***whole milk***gluten***lactose***processed sugar***fructose***casein protein***processed sugar***fructose***casein protein***synthetics***food dyes***artificial coloring***ingredients produced using biotechnology***artificial sweeteners***artificial flavorings***Directions for use:  For adults 18 years and older, mix one full scoop with water or skim milk.  Not for use by individuals under the age of 18.***Supplement Facts Serving Size 1oz***Servings Per Container: 30***Ancient Grain Blend 10g***Brown Rice, Amaranth, Sorghum***Metabolic Support Blend 346mg***Irvingia Gabonesis 4:1, Guarana PE 12% Chromium Picolinate, Slippery Elm Bark Spirulina Powder, Vita Choline, Mucuana Pruiens 25% To 40%, Noni PE 4:1, PPQ***SuperFood Blend 195mg***Spinach Powder, Carrot Powder, Pascalite Powder Horsetail Powder Ext. 7%, Lycopene 5%***Digestive Blend 5g***Fibers (Maltodextrin), UltraSmooth (Tic Gum) Guar Gun, Fungal Protease 100,000HUTG Lactobacillus Acidophilus 10 Billion***Other Ingredients:  Natural Vanilla Flavor, NuStevia***This product is derived from natural ingredients and therefore color may vary from lot to lot, and some ingredients may not dissolve as rapidly as other natural ingredients.***Keep lid tightly closed and in a dark, cool place.  Keep out of reach of children.  This product is sold by weight, not by volume.  Settling of contents may occur during shipping and handling.***Questions? 1-888-488-9493***Manufactured for foru international, inc. 1231 Greenway Drive, Ste. 200 Irving Texas 75038***""     The product is in white plastic bottles with Black Top. Product is packaged 12 bottles per case.  Product Form:  Powder. Dosage: 1 Scoop (16.6g) Product Description:  Cream color powder blend, somewhat vanilla scent.  Product use:  Intended use as meal replacement.",Dairy,probe
F-1753-2012,"Sienna Bakery¿ White Chocolate Macadamia Nut Gourmet Cookies, UPC 093901201706, NET WT /PESO NETO 54 OZ (3.38 LB) 1.52 kg, 40 Count Thaw & Serve, INGREDIENTS: ENRICHED WHEAT FLOUR, CHOCOLATE FLAKES (SUGAR, COCOA, BUTTER, WHOLE MILK POWDER, SKIM MILK POWDER, MILK FAT, SOY LECITHIN ADDED AS EMULSIFIER, VANILLA EXTRACT), BROWN SUGAR, WHITE SUGAR, WHITE CHUNK ( SUGAR, PARTIALLY HYDROGENATED PALM KERNEL AND PALM OILS, NONFAT DRY MILK, BUTTERFAT, SOY LECITHIN, ADDED AS EMULSIFIER, SALT AND ARTIFICIAL FLAVORING ADDED) BUTTER, WHOLE EGGS, MARGARINE(PARTIALLY HYDROGENATED SOYBEAN AND COTTONSEED OILS, WATER, SALT, BUTTERMILK, LECITHIN, VEGETABLE MONO AND DIGLYCERIDES, SORBIC ACID & SODIUM BENZOATE ADDED AS PRESERVATIVE ARTIFICIALLY FLAVORED, ARTIFICIALLY COLORED WITH BETA CAROTENE, VITAMIN A PALMITATE ADDED), M ACADEMIA NUTS, INVERT SUGAR, VANILLA (WATER, ETHYL ALCOHOL, CARMEL COLOR) , SALT, SODA BICARBONATE, CARMEL COLOR.), CONTAINS: WHEAT, MILK, EGG TREE NUT (MACADAMIA), SOY, Distributed by / Distribuido por Gordon Food Services, Grand Rapids, MI 49548",Dairy,probe
F-2113-2012,"Flavored cheddar cheese, vacuum packed in weights ranging from 0.25-0.50 pounds, labeled and batch coded by firm.  Cheese labeled in part:  ""Medium Cheddar Red Pepper with Onion & Garlic Pasteurized whole milk, salt, culture, vegetable rennet, spices.  r-BST free.***GOLDEN GLEN CREAMERY 15098 Field Road  Bow, WA 98232***887""",Dairy,probe
F-1717-2014,"Santa Rosa de Lima Cuajada Fresca (Fresh Cheese) , 16 oz packed in a rigid plastic container (Clamshell), Roos Foods Inc., Kenton, DE 19955 Plant No. 10-5436, UPC code 095548003538. (Ingredients: Pasteurized whole milk, enzymes, rennet & salt).",Dairy,probe
F-1622-2013,"Eco-Cuisine Reduced Sodium ""Ground Beef Style"" Quick Mix, SKU: AA10GBQM, Pack size 10 lb bag, 1 bags per case, Distributed by Eco-Cuisine and manufactured by All American Seasonings, Denver, CO; and TV10GBQM 10 lb bag distributed by Eco-Cuisine and manufactured by TOVA, Louisville, KY.",Beef/Pork/Poultry/Game Meats,probe
F-1274-2019,"Impossible Foods Bulk, 5 lb. vacuum sealed plastic-pack.  Keep Frozen;  This is a plant product that is looks like and is used like ground beef.  UPC: (01) 00816697020036;  Item # 60-00010",Beef/Pork/Poultry/Game Meats,probe
F-1527-2022,"MEAT AND POULTRY PRODUCTS    1. FRESH MKT  BEEF POT PIE   38OZ    	UPC 7818508518		38   OZ             	BUDD FOODS INC          2. PUERINGER SLC PEPPERONI BULK 5LB	UPC 3442921977		    5LB             	PERFORMANCE FOOD GRO    3. INNOVASIAN GEN TSO CHKN KIT	UPC 69511940200	4	    4LB             	INNOVASIAN CUISINE E    4. FONTANINI ITALIAN SAUSGE CKD 5 LB	UPC	3943721515		5    LB             	PERFORMANCE FOOD GRO    5. FONTANINI ITALIAN SAUSGE CKD 5 LB	UPC	3943721515		5    LB             	VISTAR/ VSA             6. FRONTERA GROUND BEEF SKILLET POUCH 8 OZ  	UPC	60418312170	6	8    OZ             	CONAGRA FOODS SALES     7. GOURMET BOUTIQUE TERIYAKI CHICKEN 4 Z	UPC	70612900142		4    OZ             	GOURMET BOUTIQUE LLC    8. SWIFT SLICED BACON BULK    	UPC	4531085094		15   LB             	DOT FOODS INC           9. COUNTRY CHEF CHICKEN POT PIE 9.5 OZ      	UPC	3805800325		9.5  OZ             	CARANDO GOURMET FROZ    10. GOURMET BOUTIQUE CHICKEN POT PIE 15 OZ   	UPC	70612903376		15   OZ             	GOURMET BOUTIQUE LLC    11. GOURMET BOUTIQUE CHICKEN POT PIE 15 OZ   	UPC	70612903376		15   OZ             	GOURMET BOUTIQUE LLC    12. KLEMENTS BEEF CHICAGO HOT DOG 5 LB	UPC	7360807271		    5LB             	KLEMENT SAUSAGE CO      13. KLEMENTS BEEF CHICAGO HOT DOG 5 LB	UPC	7360807271		    5LB             	KLEMENT SAUSAGE CO      14. SMTHFIELD BACON BITS 5LB   	UPC 7080014265		5    LB             	SMITHFIELD PACKAGED     15. FIELDALE BONELESS BREAST	UPC	1394171288		40   LB             	FIELDALE FARMS CORPO    15. FIELDALE BONELESS BREAST	UPC 1394171288		40   LB             	FIELDALE FARMS CORPO    16. FIELDALE BONELESS THIGHS	UPC	1394171491		   20LB             	FIELDALE FARMS CORPO    17. FIELDALE BONELESS THIGHS	UPC	1394171491	1	   20LB             	FIELDALE FARMS CORPO    18. FIELDALE SPLIT BREAST	UPC	1394171058	1	40   LB             	FIELDALE FARMS CORPO    19. FIELDALE SPLIT BREAST	UPC	1394171058	1	40   LB             	FIELDALE FARMS CORPO    20. FIELDALE CUT WINGS	UPC 1394171411	1	   20LB             	FIELDALE FARMS CORPO    21. FIELDALE CUT WINGS	UPC	1394171411		   20LB             	FIELDALE FARMS CORPO    22. FIELDALE TENDERS	UPC	1394171463		   20LB             	FIELDALE FARMS CORPO    23. PREMIO CHORIZO      	UPC	2836420616		10   LB             	PREMIO FOODS INC        24. PREMIO SWEET 8"" SWEET SAUSAGE     UPC	2836420725		10   LB             	PREMIO FOODS INC        25. IMPERIAL GARDEN CHICKEN EGG ROLL 4.2 OZ  	UPC	88012401870		4.2  OZ             	JYC ENTERPRISE INC      26. IMPERIAL GARDEN CHICKEN SPRING ROLL 1.5 OZ      UPC	88012401490		1.5  OZ             	JYC ENTERPRISE INC      27. FRESH MARKET  WEEKEND DRY RUB APPLEWOOD BACON   	UPC	73709421040		12   OZ             	WELLSHIRE FARMS INC     28. FREIRICH BEEF PASTRAMI ROUND   7.5 LB    	UPC	3797100135		7.5  LB             	FREIRICH FOODS INC      29. FRESKET GOURMET WHITE CHICKEN SALAD   5 LB      UPC	7790405199		5    LB             	ELEVATION FOODS LLC     30. GOURMET MINI MEATLOAF W/KET	UPC	70612903379	    5CT             	GOURMET BOUTIQUE LLC    31. SPRINGER FC SAVORY WINGS   	UPC	1394104203		5    LB             	FIELDALE FARMS CORPO    32. SPRINGER FC SAVORY WINGS   	UPC	1394104203		5    LB             	FIELDALE FARMS CORPO    33. SMTHFIELD BACON BITS 5LB   UPC 7080014265		    5LB             	SMITHFIELD PACKAGED     34. TFM SPLIT BREAST    	UPC	1394107059	   40LB             	FIELDALE FARMS CORPO    35. TFM SPLIT BREAST    	UPC	1394107059	   40LB             	FIELDALE FARMS CORPO    36. FREIRICH ANGUS BEEF FRANK BULK 5 LB      	UPC	3797110706		5    LB             	FREIRICH FOODS INC      37. FREIRICH ANGUS BEEF FRANK BULK 5 LB      	UPC	3797110706		5    LB             	FREIRICH FOODS INC      38. VERONI  PRESLICED PROSCIUTTO ITLIANO   4OZ      UPC	85680000657		4    OZ             	VERONI USA INC          39. VERONI  PRESLICED PROSCIUTTO ITLIANO   4OZ      	UPC	85680000657		4    OZ             	VERONI USA INC          40. VERONI PRE SLICED SALAME CALABRESE   4 OZ	UPC	856",Beef/Pork/Poultry/Game Meats,probe
F-2151-2012,Gills Onions were used in this product.     The product listed below is prepared at Whole Foods Market and distributed in their retail chef's case or on the self-service bar. It was not sold labeled.    SHRIMP WITH SNOW PEAS,Seafood,probe
F-0841-2013,"#828 Cook's Delight Shrimp Base, Net Weight 30 Pounds; 5 Pounds, Packed by Integrative Flavors, Michigan City, Indian",Seafood,probe
F-0684-2013,"Whole Foods Meal Shrimp Stir Fry, 16 oz plastic container, Refrigerated, Product Code 3640630222",Seafood,probe
F-1801-2012,"Meiko Foods Co. Inc. Cooked Shrimp Balls, 8 oz. Product labeling reads in part:"" TOM VIEN COOKED SHRIMP BALLS***MEIKO FOODS CO. INC South El Monte, CA***"".    The product is packaged in a plastic box liner with a knot tied at the top in a cardboard box.",Seafood,probe
