recall_number,category,confidence
F-0605-2025,Bakery,high
F-1192-2019,Nuts/Seeds,medium
F-0040-2018,Plant Protein,low
F-0344-2017,Supplements,medium
F-1237-2023,Beverages,high
H-0441-2026,Beverages,high
F-3043-2017,Grains/Cereal,medium
F-0440-2016,Bakery,high
F-0772-2013,Bakery,high
F-1698-2023,Dairy,medium
F-1683-2017,Dairy,high
F-0612-2023,Grains/Cereal,high
F-0540-2025,Snacks/Candy,medium
F-2630-2017,Seafood,high
F-0818-2015,Prepared/Frozen,medium
F-0393-2022,Grains/Cereal,high
H-0413-2025,Plant Protein,high
F-1348-2016,Oils/Fats,high
F-0386-2019,Prepared/Frozen,high
F-0473-2017,Bakery,high
F-0545-2025,Snacks/Candy,medium
F-2367-2017,Nuts/Seeds,high
F-2843-2017,Produce,medium
F-2525-2014,Plant Protein,low
F-2383-2012,Produce,medium
F-2375-2015,Spices/Condiments,high
F-1114-2013,Grains/Cereal,high
F-2501-2016,Bakery,medium
F-0462-2015,Supplements,high
H-0450-2025,Spices/Condiments,high
F-1495-2022,Snacks/Candy,medium
F-0757-2025,Nuts/Seeds,high
F-0719-2023,Prepared/Frozen,medium
F-0913-2021,Baby/Toddler Food,high
F-2429-2016,Nuts/Seeds,high
F-0923-2017,Supplements,low
F-1572-2019,Grains/Cereal,high
F-2593-2017,Snacks/Candy,medium
F-0623-2014,Produce,medium
F-0640-2015,Bakery,high
F-1946-2012,Bakery,high
F-0509-2016,Seafood,high
F-1794-2016,Produce,high
F-1627-2019,Dairy,high
F-0184-2013,Prepared/Frozen,medium
F-0913-2024,Dairy,high
F-0557-2022,Produce,high
F-0991-2022,Grains/Cereal,medium
F1778-2014,Prepared/Frozen,medium
F-0001-2017,Seafood,high
F-1941-2012,Produce,high
F-0737-2021,Seafood,high
F-1324-2015,Uncategorized,low
F-1916-2013,Supplements,high
F-0845-2013,Spices/Condiments,high
F-0698-2020,Grains/Cereal,high
F-1502-2020,Spices/Condiments,high
F-0715-2024,Prepared/Frozen,medium
F-3182-2017,Uncategorized,low
F-1598-2016,Grains/Cereal,high
F-1013-2018,Supplements,high
F-0452-2016,Dairy,medium
F-1849-2017,Dairy,high
F-1444-2015,Uncategorized,low
F-1490-2019,Spices/Condiments,medium
F-1181-2018,Prepared/Frozen,high
F-0159-2017,Bakery,high
F-2636-2015,Dairy,high
F-2385-2012,Produce,medium
F-1046-2020,Spices/Condiments,medium
F-2017-2015,Grains/Cereal,medium
F-1215-2019,Spices/Condiments,high
F-1540-2019,Bakery,high
F-1887-2012,Produce,medium
