recall_number,product_description
F-1733-2012,"Coca Cola Zero, 20 fl. oz., The Coca Cola Company."
F-1882-2012,"Asian Stir Fry, packaged under the following labels and sizes:  Delish, 8.5 oz.  Albertson's Generic Label, 10 oz,  Chef Essentials - 10 oz.  Raley's, 10 oz.    Manufactured by GH Foods CA LLC,  Rancho Cordova, CA."
F-1905-2012,"Sweet and Sour Stir Fry packaged under the following brand names and sizes:  Garden Highway Chef Essentials 10.5 oz;  Raley's 10.5 oz Safeway Farms 10.5 oz .    Manufactured by GH Foods CA LLC,  Rancho Cordova, CA."
F-1732-2012,Middle-Age Energy Booster bottles of 60 tablets taken orally Nokomis Research Inc  Bell Lifestyle Products #65
F-2049-2012,"Cass Clay, TIN ROOF SUNDAE	3 Gallon (11.34 L)    Cass Clay, TIN ROOF SUNDAE, 	one gallon (3.78 L), 0 70422 03474 7"
F-0901-2013,Pastillage (gum paste) Flowers
F-2000-2012,"Cool Creations Fajita Mix Deluxe packaged for food service in 5-lb. plastic trays, 4 per case (item #15741)."
F-0790-2013,Zingerman's Bakehouse Apricot Rugelach Net wt. 1/2 lb
F-1913-2012,"Raley's Mirepoix, 5 oz package..   Manufactured by GH Foods CA LLC,  Rancho Cordova, CA."
F-1896-2012,"Garden Highway brand Caldo mix, 48 oz.;  Manufactured by GH Foods CA LLC,  Rancho Cordova, CA."
F-0710-2013,"""***Avena de Aqu¿ Si Azucar A¿adida****8oz****Fabricado por Postres de Aqui, Inc. Calle B Parrio Plamas Cata¿o PR 00962***"""
F-1326-2013,"Siya Green Mukwhas Net Wt. 200 gm (7 oz)  Distributed by: Miami Growers, Inc.  80 Broadway, Jersey City, NJ 07306  Phone: 201-985-9322, Fax: 201-985-9569  Email: miamigrowers@yahoo.com  Visit us: www.miamigrowersinc.com  A Product of India"
F-0970-2013,"Siya Pan Gilori Net Wt. 180g. Distributed by: Miami Growers Inc. 80 Broadway Jersey City, NJ 07306 T 201-985-9322, 201-369-1500 Visit us: www.miamigrowersinc.com   UPC 0893056003800"
F-0177-2013,#450 10 oz Garden Veggies	10 ounces
F-0538-2013,"Sunland Salted In-Shell Bulk in Box, 25 lb UPC 0-48687-12108-3."
F-0830-2013,Dried Apricots 6 oz UPC 7203670494
F-0047-2013,"Harris Teeter, Stuffed Flounder 8ct (Fresh)."
F-1613-2013,"Del Monte brand Tropical Blend, 7 oz., Lot number 05262101; 16 oz., UPC 7-17524-77868-7"
F-0084-2013,"florAlign Prebiotic Formula, sizes: 90g, 180g, 270g"
F-0240-2013,#324 Baked Beans		5 pounds
F-0902-2013,Pastillage (gum paste) Flowers
F-0772-2013,Zingerman's Bakehouse Cinful Cinnamon Rolls Net wt. 1 1/2 lb
F-2054-2012,"Cass Clay,  WINTER WONDER, half gallon (1.89 L) , 0 70422 00100 8    Cass Clay, Winter Wonder, 3 Gallon (11.334 L)"
F-0705-2013,"Swanson Organic, 100% Certified Organic Fennel Seed, Net Wt 6 oz (45 grams), SWF092, UPC 0 87614 24092 3."
F-0870-2013,"Asian Boy (EBQ) Tapioca Stick  3.5 oz (100g)  New B.C.N. Trading Inc.  701 Hadky South Plainfield, NJ 07080  MINH NGUYET TRADING CO., LTD.  BIN CHANH -HOCHIMINH CITY  VIETNAM   UPC 627404021822"
F-2001-2012,"Grillers Fajita Mix, packaged in 10-oz. foil trays, 4 trays per case, UPC 815970011341.  The firm name on the label is Cool Creations, LLC, North Kansas City, MO."
F-1968-2012,"Fig Bars (Fig Newton style), bulk packed and refrigerated for individual sales."
F-0502-2013,"Sunland Valencia Natural Crunchy, 16 oz UPC 48687219063."
F-1844-2012,Autumn Mix sold under the following name brands: 1) Sunrise Autumn Mix which is packaged in 8 oz bags/36 bags per case; 2) Safeway Autum Mix which is packages in 10 oz bags/24 bags per case
F-1474-2012,"Santos Brand, garbanzo beans packed in clear plastic bags, 2 pounds, 4 pounds"
F-0529-2013,"Sunland Raw In-Shell, 25 lb UPC 10108."
F-1940-2012,"Hannaford Meatball Panini - cold, UPC # 941260723096  Hannaford Meatball Panini - hot, UPC # 94126072102  Packaged in 10 oz plastic clamshell"
F-0322-2013,"SunRidge  Farms Treasure Trove Mix.  Packed in 20 pound case.  UPC code: 086700301104    Manufactured by Falcon Trading Company, Inc. dba SunRidge Farms  423 Salinas Road  Royal Oaks, CA 95076"
F-0975-2013,"""Estrella Food Products, Inc***Plantillas Para Pastelillos, tacos, Empanadillas, etc. (Yellow dough shells)***12 units, and 20 units***Manufactured by: Estrella Food Products, Inc., Minillas Industrial Park,Bayamon, PR 00959-1906***""."
F-1802-2012,"Meiko Foods Co. Inc. Tempura, 12 oz. Product labeling reads in part:"" MEIKO***TEMPURA ***MEIKO FOODS CO. INC South El Monte, CA***"".    The product is packaged in a plastic box liner with a knot tied at the top in a cardboard box."
F-0295-2013,"""Tacos de Marlin"" (Marlin-filled turnovers)***Keep Refrigerated***Manufacturado por Sun Boricua Pa'l Mundo Inc, Carr. 486 km 0.1 Bo. Quebrada, Camuy PR 00627"
F-2394-2012,"Sam's Club Chunky Cinnamon Streusel, Net Wt 25 lb, in white plastic pails, Manufactured for Sam's Club, Bentonville, AR 72716, Best if stored in a cool, dry location between 65 - 75 degrees Farenheit."
F-0715-2013,"Smoked Gouda packaged in 7 oz clear plastic containers, manufactured by Sartori Inspirations, LLC, Lafayette, CO 80026."
F-1776-2012,"Vanilla Maple, 1pt., UPC 8 52244 00306 0"
F-0023-2013,"Fresh Cuts, Pineapple Dices, 2 oz, Best By: SEP/15/12, Lot Number: 243 and 245."
F-1708-2012,"Cinnamon Xylishield xylitol gum, net wt 84 g, Ultradent Products, South jordan, UT 84095 60 pieces of gum per pack.  Packaging is red, white, and black with black, red and white print writing.  The product is advertised for use in fighting against tooth decay. Part number 8419."
F-0506-2013,"Sunland Valencia Roasted and Blanched, 30 lb, UPC 41320."
F-0313-2013,"Hot Pepper Jelly, 4 and 8 ounce jars, labeled in part ***Jill's Jams &amp;amp; Jellies, Hampstead, MD 21074***"
F-0906-2013,Pastillage (gum paste) Flowers
F-0202-2013,#386 1/2 Farmer's Quiche	1/2 each
F-1198-2013,"Treasure Trove Mix, sold from Whole Foods Market Bulk Bins PLU 6922"
F-2286-2012,"Wawa protein power pack Net Wt 7.8 OZ  Distributed by: Wawa, Inc. Wawa, PA 19063 wawa.com  On or before August 11; UPC 261902565"
F-1343-2012,"Evergreen Farm Doen Jang (Soybean Paste).  Net Wt, 70 ounces (4.4 LBS) in glass jars.  1023 Yardville Allentown Road, Hamilton NJ 08620.  Product of USA.  UPC# 89076725873"
F-0976-2013,"""Estrella Food Products, Inc***Pastelillos de Guayaba (Guava Mini Turnovers)***6 units***Manufactured by: Estrella Food Products, Inc., Minillas Industrial Park,Bayamon, PR 00959-1906***""."
F-0904-2013,Pastillage (gum paste) Flowers
F-0254-2013,#305 Homemade Cole Slaw	7 pounds
F-1731-2012,Fertalin bottles of 90 tablets taken orally Nokomis Research Inc  Bell Lifestyle Products #8
F-0526-2013,"Sunland Organic Raw Inshell, 25 lb, UPC 10107."
F-1999-2012,"Cool Creations Pico de Gallo packaged for food service in 5-lb. trays, 2 per case (item 17502), and Pico de Gallo packaged for retail sale in 16-oz plastic containers, 4 per case, UPC 815970011013; and 8-oz. plastic containers, 4 per case, UPC 815970010252.  The firm name on the label is Cool Creations, LLC, North Kansas City, MO."
F-0795-2013,"Vitanut Pro IC, 50 g"
F-1465-2012,"Santos Brand, Fennel Seeds packed in clear plastic bags, 3.5 ounces, 7 ounces, 14 ounces, 2 pounds"
F-1710-2012,"Spearmint Xylishield xylitol gum, net wt 84 g, Ultradent Products, South jordan, UT 84095 60 pieces of gum per pack.  Packaging is aqua, blue and white with black, aqua and white print writing.  The product is advertised for use in fighting against tooth decay. Part number 8418."
F-1581-2013,"ALYMAQ EXTRA FINE GRANULATED SUGAR AIB, www.alymaq.com, NET WT. 50 LBS. (22.68KG), KEEP IN A COOL AND DRY PLACE.  Multi-wall polyethylene lined bag. 55 bags per pallet."
F-0741-2013,Ground limestone also known as calcium carbonate. Omya's food grade ground limestone products. All bulk with no product labeling.     Product	                    Container Size  Omya-Cal FG-10 AZ	50 lb. bags                                             2500 lb. bulk bags                                             2000 lb. bulk bags    Omya-Cal FG-4 AZ	50 lb. bags                                               Omya-Cal FG-15 AZ	2500 lb. bulk bags
F-1799-2012,"Wellements Baby Move Prune Concentrate with Prebiotics, 4oz., 12 units per case, SKU# 141161, UPC 729609019878."
F-2126-2012,"intraKID Lot 658 with a Best By date of 12/12, 33 oz and 2 oz bottles"
F-0253-2013,#306 Asian Style Cole Slaw	306	5 pounds
F-0892-2013,"Pineapple Chunks 80/2 oz (4.536g) bag Item #71607, BEST USED BY: 11/21/12 TC: 1 217 2359"
F-0017-2013,"Wawa pineapple Net Wt. 7 oz (198 g) rigid plastic tray Distributed by: Wawa, Inc. Wawa, PA 19063 UPC 726191069328"
